epoch,eval_accuracy,eval_f1,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.32051282051282054,,,,,,,1.6718220710754395,0.00017905982905982908,0.7203501892089844,50,,,,,
0.6410256410256411,,,,,,,3.7690727710723877,0.0001576923076923077,0.6983309936523437,100,,,,,
0.9615384615384616,,,,,,,5.242509365081787,0.00013632478632478635,0.7012019348144531,150,,,,,
1.0,0.555956678700361,0.35602094240837695,0.6807909607887268,0.4581,604.722,19.648,,,,156,,,,,
1.282051282051282,,,,,,,9.439444541931152,0.00011495726495726495,0.6831574249267578,200,,,,,
1.6025641025641026,,,,,,,2.1653687953948975,9.35897435897436e-05,0.683577880859375,250,,,,,
1.9230769230769231,,,,,,,4.6782097816467285,7.222222222222222e-05,0.6816004943847657,300,,,,,
2.0,0.6137184115523465,0.6372881355932203,0.6821668148040771,0.459,603.441,19.606,,,,312,,,,,
2.2435897435897436,,,,,,,2.8501813411712646,5.085470085470085e-05,0.6477881622314453,350,,,,,
2.564102564102564,,,,,,,2.64886212348938,2.948717948717949e-05,0.6307950592041016,400,,,,,
2.8846153846153846,,,,,,,4.844808101654053,8.11965811965812e-06,0.6416624450683593,450,,,,,
3.0,0.5703971119133574,0.4892703862660944,0.6790187358856201,0.4549,608.927,19.785,,,,468,,,,,
3.0,,,,,,,,,,468,482507925082176.0,0.6766008923196385,35.8286,208.493,13.062
3.0,0.5703971119133574,0.4892703862660944,0.6790187358856201,0.4216,657.003,21.347,,,,468,,,,,
