epoch,eval_accuracy,eval_f1,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.32051282051282054,,,,,,,1.6281601190567017,0.00017905982905982908,0.8813777923583984,50,,,,,
0.6410256410256411,,,,,,,3.8490729331970215,0.0001576923076923077,0.7616917419433594,100,,,,,
0.9615384615384616,,,,,,,4.678913116455078,0.00013632478632478635,0.7085222625732421,150,,,,,
1.0,0.49458483754512633,0.5652173913043478,0.6920003890991211,0.5265,526.135,17.095,,,,156,,,,,
1.282051282051282,,,,,,,9.988381385803223,0.00011495726495726495,0.709596176147461,200,,,,,
1.6025641025641026,,,,,,,2.218344211578369,9.35897435897436e-05,0.7066834259033203,250,,,,,
1.9230769230769231,,,,,,,6.272036552429199,7.222222222222222e-05,0.7073855590820313,300,,,,,
2.0,0.4729241877256318,0.6421568627450981,0.7084712982177734,0.5187,534.047,17.352,,,,312,,,,,
2.2435897435897436,,,,,,,2.7389936447143555,5.085470085470085e-05,0.6973748779296876,350,,,,,
2.564102564102564,,,,,,,2.7341809272766113,2.948717948717949e-05,0.685549545288086,400,,,,,
2.8846153846153846,,,,,,,5.557182788848877,8.11965811965812e-06,0.7075815582275391,450,,,,,
3.0,0.4729241877256318,0.6421568627450981,0.692251443862915,0.5215,531.128,17.257,,,,468,,,,,
3.0,,,,,,,,,,468,483338406419904.0,0.7290631767012116,42.0719,177.553,11.124
3.0,0.4729241877256318,0.6421568627450981,0.692251443862915,0.4881,567.46,18.437,,,,468,,,,,
