budget_type,exp_name,accuracy,f1,eval_loss,train_time_sec,final_step,total_rank_slots,kept_rank,zero_count,compression_ratio,rank_min,rank_max,rank_std,query_mean_rank,value_mean_rank
strict,sst2_adalora_strict_rank,0.866972,0.872247,0.318284,289.99,3750,288.0,160.0,128.0,0.4444444444444444,3.0,10.0,1.9075871903765995,5.75,7.583333333333333
fast,sst2_adalora_budget_fast,0.866972,0.872247,0.317728,306.86,3750,288.0,154.0,134.0,0.4652777777777778,2.0,10.0,1.9346977943739834,5.833333333333333,7.0
slow,sst2_adalora_budget_slow,0.87844,0.883516,0.312974,295.31,3750,288.0,159.0,129.0,0.4479166666666667,3.0,10.0,1.7514874630819752,6.166666666666667,7.083333333333333
